UI_20150317_000001	{@st41b}各ク​​ラスのマスターたちから{nl}の特性を学ぶことができます。{/}
UI_20150317_000002	{@st43}属性の一覧{/}
UI_20150317_000003	{@st59}属性リストを閉じます{/}
UI_20150317_000004	{@st43}特性を学ぶ{/}
UI_20150317_000005	{@st59}プロパティ]ウィンドウを閉じます{/}
UI_20150317_000006	{@st41b}所持金{/}
UI_20150317_000007	業績
UI_20150317_000008	サーバーランキング
UI_20150317_000009	{@st59}突発イベントがあります{/}
UI_20150317_000010	{@st59}ヒントがあります{/}
UI_20150317_000011	{@st41}いくつかの種類の矢を製作しますか？{/}
UI_20150317_000012	{@st41b}一度だけ{/}
UI_20150317_000013	{@st41b}すべて{/}
UI_20150317_000014	{@st41b}中止{/}
UI_20150317_000015	{@st43}冒険日誌{/}
UI_20150317_000016	{@st43}競売{/}
UI_20150317_000017	{@st59}競売を閉じます{/}
UI_20150317_000018	{@st41b}落札物品：%s個、流札物品：%s個{/}
UI_20150317_000019	{@st43} {s22}アイテムオークション{/}
UI_20150317_000020	{@st59}クエストを閉じます{/}
UI_20150317_000021	Abe days rest
UI_20150317_000022	{@st41b}残り時間
UI_20150317_000023	3時間16分
UI_20150317_000024	{@st41b}より
UI_20150317_000025	{@st41b}入札数
UI_20150317_000026	{@st41b}現在
UI_20150317_000027	{@st41b}入札金
UI_20150317_000028	{@st41b}最小{@st57}%s {@st41b}銀から入札可能{/}
UI_20150317_000029	{@st41b}入札{/}
UI_20150317_000030	{@st43b}今すぐ購入！{nl} {img icon_item_silver 20 20} {@st57}%s {/}
UI_20150317_000031	{@st44}権限の設定{/}
UI_20150317_000032	{@st45}名前：%s {/}
UI_20150317_000033	{@st45}パーティー倉庫{/}
UI_20150317_000034	{@st49}なし
UI_20150317_000035	{@st49}挿入
UI_20150317_000036	{@st49}インポート
UI_20150317_000037	{@st45}アンケート{/}
UI_20150317_000038	{@st49}作成
UI_20150317_000039	{@st49}削除
UI_20150317_000040	{@st44}保存{/}
UI_20150317_000041	{@st44}キャンセル{/}
UI_20150317_000042	{@st43} {s22}美容室{/}
UI_20150317_000043	{@st59}前の頭部{/}
UI_20150317_000044	{@st59}次の頭{/}
UI_20150317_000045	{@st41b}変更{s18}（NXP 100必要）{/}
UI_20150317_000046	{@st59}選択されたヘアに変更します。{/}
UI_20150317_000047	{@st41}解約
UI_20150317_000048	{@st43}ブラックマーケット{/}
UI_20150317_000049	本の名前
UI_20150317_000050	{@st59}読書をやめる{/}
UI_20150317_000051	{@st59}前のページ{/}
UI_20150317_000052	{@st59}次のページ{/}
UI_20150317_000053	{@st47}%s登場！
UI_20150317_000054	{@st43}スコア{/}
UI_20150317_000055	受けたダメージ
UI_20150317_000056	テクニックボーナス
UI_20150317_000057	回避ボーナス
UI_20150317_000058	クリア時間
UI_20150317_000059	総得点
UI_20150317_000060	{@st42}経過時間
UI_20150317_000061	10分
UI_20150317_000062	10秒
UI_20150317_000063	{@st44}締め切り
UI_20150317_000064	{@st59}自動販売機を閉じます{/}
UI_20150317_000065	{@st43}バフ自動販売機
UI_20150317_000066	自動販売機の名前
UI_20150317_000067	{@st43}登録
UI_20150317_000068	{@st43}キャンセル
UI_20150317_000069	バフ自動販売機
UI_20150317_000070	{@st59}バフ自動販売機を閉じます。
UI_20150317_000071	{@st59}バフ自販機{nl} - シルバーを払って、そのプレイヤーにバフスキルを詠唱することができます。
UI_20150317_000072	キャリッジメニュー
UI_20150317_000073	{ol} {s22}を下げる{/}
UI_20150317_000074	キャスティング
UI_20150317_000075	{@st43}ゲーム設定{/}
UI_20150317_000076	{@st64}方向キーを入力して、セルを選択してください！
UI_20150317_000077	{@st43}転職情報{/}
UI_20150317_000078	{@st43}クラスの選択
UI_20150317_000079	サイコキネシス
UI_20150317_000080	{@st42}%sサークル{/}
UI_20150317_000081	いくつかのサークル
UI_20150317_000082	クラスの簡単な説明をここに表示されます。
UI_20150317_000083	{@st41b}攻撃力{@sti7}%s {/}
UI_20150317_000084	{@st41b}補助{@sti7}%s {/}
UI_20150317_000085	{@st41b}難易度{@sti7}%s {/}
UI_20150317_000086	{@st59}クラス情報ウィンドウを閉じます{/}
UI_20150317_000087	転職可能アラーム
UI_20150317_000088	{@st43}クラス転職
UI_20150317_000089	{@sti7} {s14}キャラクター{/}
UI_20150317_000090	{@sti8} {s14}クラス{/}
UI_20150317_000091	{@st44}チャット{/}
UI_20150317_000092	To。 WWWWWWWW 他1
UI_20150317_000093	一般：/ sの内容{nl}呼出し：/ y内容{nl}パーティー：/ pの内容{nl}ささやき：/ wキャラ名内容
UI_20150317_000094	{@st41}一般的な会話{/}
UI_20150317_000095	{@​​59}終了する{/}
UI_20150317_000096	{@​​59}招待する{/}
UI_20150317_000097	{@st59}全体{/}
UI_20150317_000098	{@st59}一般的な（/ sの発言）{/}
UI_20150317_000099	{@st59}呼出し（/ y発言）{/}
UI_20150317_000100	{@st59}パーティー（/ p発言）{/}
UI_20150317_000101	{@st59}ウィスパー（/ wチーム名の発言）{/}
UI_20150317_000102	{@st59}チャットウィンドウのサイズを変更{/}
UI_20150317_000103	{@st43} {s22}チャットマクロ{/}
UI_20150317_000104	{@st43}マクロ{/}
UI_20150317_000105	{@st59b}マクロ{nl} {@st59s} - 使用方法：{nl} 1.上部のジェスチャーアイコンを下部のジェスチャースロットに登録{nl} 2.会話フレーズを作成して保存{nl} 3.ショートカットを使用してフレーズと同時にジェスチャー動作{/}
UI_20150317_000106	{@st59}マクロを閉じます{/}
UI_20150317_000107	{@st41b}保存{/}
UI_20150317_000108	{@st59}登録内容を保存します{/}
UI_20150317_000109	{@st41b}キャンセル{/}
UI_20150317_000110	{@st59}登録内容をキャンセルします{/}
UI_20150317_000111	{@st42}チャット設定
UI_20150317_000112	{@st42}透明度
UI_20150317_000113	吹き出しを表示
UI_20150317_000114	画面の上部に叫ぶの内容を表示
UI_20150317_000115	{@st43}チートリスト{/}
UI_20150317_000116	{@st42b}アイテム{/}
UI_20150317_000117	{@st42b}モンスター{/}
UI_20150317_000118	{@st42b}マップ移動{/}
UI_20150317_000119	{@st42b}戦闘コマンド{/}
UI_20150317_000120	{@st41b}を閉じる{/}
